trt,date,ID,lnpAFDMR,day
Chill 1-13,1,371,4.15134344,10
Chill 1-13,1,173,4.196039535,10
Chill 1-13,1,165,4.366248253,10
Chill 1-13,1,442,4.301182966,10
Chill 1-13,1,191,4.266407203,10
Chill 1-13,2,289,3.9533805,24
Chill 1-13,2,416,3.939046178,24
Chill 1-13,2,445,3.923486757,24
Chill 1-13,2,343,3.998097614,24
Chill 1-13,2,364,4.044736082,24
Chill 1-13,3,57,3.506122414,41
Chill 1-13,3,336,2.756595526,41
Chill 1-13,3,335,2.738801786,41
Chill 1-13,3,306,3.45132332,41
Chill 1-13,3,245,4.244817103,41
P. max,1,1,4.311976484,10
P. max,1,424,4.233704979,10
P. max,1,403,4.315671187,10
P. max,1,209,4.258765618,10
P. max,2,161,3.986784077,24
P. max,2,151,4.001212443,24
P. max,2,254,4.014388452,24
P. max,2,381,4.087594576,24
P. max,3,344,4.180573029,41
P. max,3,205,3.85458314,41
P. max x Chill 1-13,1,329,4.27535967,10
P. max x Chill 1-13,1,428,4.283054451,10
P. max x Chill 1-13,1,347,4.17739932,10
P. max x Chill 1-13,1,70,4.211242902,10
P. max x Chill 1-13,2,282,4.128761292,24
P. max x Chill 1-13,2,98,3.942868642,24
P. max x Chill 1-13,2,227,3.939137127,24
P. max x Chill 1-13,2,340,3.819368422,24
P. max x Chill 1-13,3,430,3.680306706,41
P. max x Chill 1-13,3,390,2.837908188,41
P. max x Chill 1-13,3,130,3.445629401,41
P. max x Chill 1-13,3,380,3.737943751,41
P. max x Chill 1-13,3,380,4.245396335,41
"P.max, Chill 1-13 mix",1,267,4.241580161,10
"P.max, Chill 1-13 mix",1,152,4.222482898,10
"P.max, Chill 1-13 mix",3,337,3.395359204,41
"P.max, Chill 1-13 mix",3,167,3.799863823,41
"P.max, Chill 1-13 mix",3,278,3.285699914,41
"P.max, Chill 1-13 mix",3,350,3.078913542,41
"P.max, Chill 1-13 mix",3,237,3.732961762,41
"P.max, Chill 1-13 mix",2,176,4.123033579,24
"P.max, Chill 1-13 mix",2,326,3.95993244,24
"P.max, Chill 1-13 mix",2,461,4.121957212,24
P. max x Chill 1-13,initial,none,4.488084952,0
P. max x Chill 1-13,initial,none,4.492368729,0
P. max x Chill 1-13,initial,none,4.49208176,0
P. max,initial,none,4.449222919,0
P. max,initial,none,4.451554194,0
P. max,initial,none,4.452419087,0
Chill 1-13,initial,none,4.462284618,0
Chill 1-13,initial,none,4.463267665,0
Chill 1-13,initial,none,4.463519669,0
"P.max, Chill 1-13 mix",initial,none,4.488084952,0
"P.max, Chill 1-13 mix",initial,none,4.492368729,0
"P.max, Chill 1-13 mix",initial,none,4.49208176,0
