ID,Tag number,Litter treatment,Trt number,Amphinemura Ris,Baetidae,Chironomidae,Cynigmula,Epeorus,Ephemeroptera,Leptophlebiidae,Limnephilidae,Malenka Ricker,Nemouridae,Isoperla,Paraleptophlebia,Perlidae,Plecoptera,Ryachophila,Simuliidae,Sweltsa Ricker,Tipuliidae,Zapada Ricker
1,70,Hybrid,1,0,1,12,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
2,280,Hybrid,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,329,Hybrid,1,0,1,12,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
4,347,Hybrid,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,428,Hybrid,1,1,1,6,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1
6,102,Mixture,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
7,152,Mixture,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
8,267,Mixture,2,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
9,456,Mixture,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
10,165,P. trich. ,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11,191,P. trich. ,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,371,P. trich. ,3,0,0,6,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1
13,442,P. trich. ,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,209,P. max. ,4,1,0,9,2,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0
15,260,P. max. ,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
16,372,P. max. ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,403,P. max. ,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,424,P. max. ,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
