ID,Tag,Litter treatment,Trt number,Shredders,Scrapers,Predators,Predators-shredders,Collector-gatherers,Collector-filterers,Shredder-collectors,Collector-scrapers,Percent shredders,Percent predators
1,130,Hybrid,1,3,1,1,2,0,1,0,13,14.28571429,4.761904762
2,324,Hybrid,1,4,0,1,2,0,0,0,9,25,6.25
3,380,Hybrid,1,0,0,1,1,2,0,0,5,0,11.11111111
4,390,Hybrid,1,9,2,4,1,1,1,0,7,36,16
5,430,Hybrid,1,1,0,1,1,0,0,0,0,33.33333333,33.33333333
6,167,Mixture,2,4,5,1,1,0,0,0,11,18.18181818,4.545454545
7,278,Mixture,2,17,1,0,0,0,0,0,8,65.38461538,0
8,337,Mixture,2,5,0,2,1,1,2,0,16,18.51851852,7.407407407
9,57,P. trich.,3,5,2,0,1,1,1,1,33,11.36363636,0
10,245,P. trich.,3,3,1,0,1,0,0,0,13,16.66666667,0
11,306,P. trich.,3,2,0,0,0,0,0,0,8,20,0
12,335,P. trich.,3,2,0,0,1,0,0,0,6,22.22222222,0
13,336,P. trich.,3,2,0,0,0,0,0,0,6,25,0
14,205,P. max.,4,0,0,0,0,0,0,0,3,0,0
15,233,P. max.,4,0,0,0,0,0,0,0,0,0,0
16,242,P. max.,4,1,0,0,2,0,0,0,2,20,0
17,284,P. max.,4,8,2,0,0,0,0,0,12,36.36363636,0
18,344,P. max.,4,1,2,0,0,0,0,0,11,7.142857143,0
