ID,Tag,Litter treatment,Trt number,Amphinemura Ris,Baetidae,Brachycentridae,Chironomidae,Chloroperlidae,Cinygmula,Coleoptera,Crustacea,Ephemeroptera,Heptaginiidae,Isoperla,Leptophlebiidae,Limnephilidae,Malenka Ricker,Nemouridae,Paraleptophlebia,Pedomoecus,Plecoptera,Polychaete A,Polychaete B,Polychaete C,Psychodidae,Rhyacophila,Simuliidae,Sweltsa Ricker,Tipulidae A,Tipulidae B,Worm A,Worm B,Zapada Ricker
1,130,Hybrid,1,0,0,0,13,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,6,0,0,1,1,0,2,0,0,0,0
2,324,Hybrid,1,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
3,380,Hybrid,1,0,1,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0,0,1,1,0,0,0,0
4,390,Hybrid,1,0,0,0,7,0,2,0,0,0,0,3,1,2,6,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
5,430,Hybrid,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
6,167,Mixture,2,0,0,0,11,1,4,0,0,0,1,0,0,0,2,0,0,0,0,13,0,0,0,0,0,1,1,0,0,0,2
7,278,Mixture,2,4,0,0,8,0,1,0,0,0,0,0,0,0,11,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2
8,337,Mixture,2,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,1,1,0,4,0,0,0,2,2,1,1,0,0,0,0
9,57,P. trich.,3,0,0,1,33,0,2,0,0,0,0,0,1,0,5,0,0,0,0,3,0,2,0,0,1,0,1,0,0,0,0
10,245,P. trich.,3,0,0,0,13,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
11,306,P. trich.,3,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,1,0,1,0,0,0,0,0,0,0,2
12,335,P. trich.,3,0,0,0,6,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,336,P. trich.,3,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
14,205,P. max.,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,233,P. max.,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,242,P. max.,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
17,284,P. max.,4,0,0,0,12,0,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
18,344,P. max.,4,0,0,0,11,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
