Litter,Harvest date,Day,AFDM g,ln AFDM,Percent mass remaining
P. max,1,10,1.4917553,0.39995348,74.587765
P. max x Chill 1-13,2,24,1.2358089,0.211725735,61.790445
P. max,2,24,1.0614622,0.059647392,53.07311
P. max,2,24,1.1042206,0.099139747,55.21103
P. max,2,24,1.129944,0.122168074,56.4972
P. max,2,24,1.541494,0.432752076,77.0747
P. max x Chill 1-13,1,10,1.4165481,0.348222997,70.827405
Chill 1-13,2,24,1.0213801,0.021154752,51.069005
Chill 1-13,2,24,1.0171177,0.016972843,50.855885
Chill 1-13,2,24,0.9912991,-0.008738974,49.564955
Chill 1-13,2,24,1.0789888,0.076024306,53.94944
"P. max, Chill 1-13 mix",2,24,1.2411,0.215998083,62.055
P. max x Chill 1-13,2,24,1.481108,0.392790456,74.0554
"P. max, Chill 1-13 mix",2,24,1.0176034,0.017450255,50.88017
Chill 1-13,2,24,1.1419223,0.13271307,57.096115
P. max,2,24,1.180008,0.165521218,59.0004
P. max x Chill 1-13,2,24,1.0158564,0.015732001,50.79282
"P. max, Chill 1-13 mix",2,24,1.202757,0.184616422,60.13785
P. max x Chill 1-13,2,24,1.0274851,0.027114166,51.374255
P. max x Chill 1-13,2,24,0.8978357,-0.10776819,44.891785
P. max,3,41,1.194705,0.177899293,59.73525
P. max,3,41,1.3146067,0.273537533,65.730335
P. max,3,41,0.9488996,-0.052452282,47.44498
P. max,3,41,0.938375,-0.063605623,46.91875
Chill 1-13,3,41,0.6563808,-0.421014171,32.81904
Chill 1-13,3,41,0.3196467,-1.140538956,15.982335
Chill 1-13,3,41,0.3109156,-1.168233786,15.54578
Chill 1-13,3,41,0.6403047,-0.445811122,32.015235
P. max x Chill 1-13,3,41,0.7773077,-0.251918997,38.865385
P. max x Chill 1-13,3,41,0.348432,-1.05431219,17.4216
P. max x Chill 1-13,3,41,0.6178514,-0.481507304,30.89257
P. max x Chill 1-13,3,41,0.831828,-0.18412959,41.5914
"P. max, Chill 1-13 mix ",3,41,0.6054549,-0.501775203,30.272745
"P. max, Chill 1-13 mix ",3,41,0.893902,-0.11215913,44.6951
"P. max, Chill 1-13 mix ",3,41,0.542572,-0.611434483,27.1286
"P. max, Chill 1-13 mix ",3,41,0.4260016,-0.853312177,21.30008
"P. max, Chill 1-13 mix ",3,41,0.8193336,-0.199263952,40.96668
Chill 1-13,3,41,1.4088087,0.342744454,70.440435
P. max x Chill 1-13,1,10,1.4637209,0.380981755,73.186045
Chill 1-13,1,10,1.2767375,0.244307996,63.836875
Chill 1-13,1,10,1.3151703,0.273966163,65.758515
Chill 1-13,1,10,1.5828275,0.459212805,79.141375
"P. max, Chill 1-13 mix ",1,10,1.3903523,0.329557168,69.517615
"P. max, Chill 1-13 mix ",1,10,1.642771,0.49638445,82.13855
Chill 1-13,1,10,1.4757406,0.389159965,73.78703
"P. max, Chill 1-13 mix ",1,10,1.3913333,0.330262496,69.566665
Chill 1-13,1,10,1.4039231,0.339270532,70.196155
P. max,1,10,1.379446,0.321681969,68.9723
P. max,1,10,1.4823043,0.393597836,74.115215
P. max x Chill 1-13,1,10,1.33,0.285178942,66.5
P. max,1,10,1.4215249,0.351730169,71.076245
P. max x Chill 1-13,3,41,1.3886899,0.328360785,69.434495
P. max x Chill 1-13,1,10,1.505185,0.408915814,75.25925
P. max x Chill 1-13,1,10,1.3353181,0.289169541,66.765905
